title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
Bông Hoa Nhài,JustaTee,nan,bsides_non_hit,37,2025-06-10,"v-pop, vietnamese hip hop, vietnam indie",6p5YdzjbV80ZmzIwk3rvMr,bonghoanhai||justatee,"('bông hoa nhài', 'justatee', 'nan')"
Bùa Yêu,Bích Phương,nan,new_hits_scraped_old,47,2018-11-21,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",1ZrADntHAYV84R2y1Op3Eg,buayeu||bichphuong,"('bùa yêu', 'bích, phương', 'nan')"
Băng Qua Cầu Giấy,Wxrdie,RPT JasonDilla,apple,51,2024-11-12,"vietnamese hip hop, v-pop",12rIwDpMKwx77nV5O998nB,bangquacaugiay||wxrdie,"('băng qua cầu giấy', 'wxrdie', 'jasondilla, rpt')"
Bước Qua Nhau,Vũ.,nan,"new_hits_scraped, new_hits_scraped_old",60,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",38rjRVqEHSlDRrDWDvjkqW,buocquanhau||vu,"('bước qua nhau', 'vũ', 'nan')"
Bước Za Đi Xa,Wxrdie,nan,"new_hits_scraped, new_hits_scraped_old, spotify",60,2024-09-18,"vietnamese hip hop, v-pop",3ER1r0HipeSSu7YNImC6vd,buoczadixa||wxrdie,"('bước za đi xa', 'wxrdie', 'nan')"
Bạch Nguyệt Quang,Táo,nan,bsides_non_hit,48,2024-12-19,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",0IbSn77m6lTkFyu6zKn7Fd,bachnguyetquang||tao,"('bạch nguyệt quang', 'táo', 'nan')"
Bạch Tường Vi,DanhKa,nan,zingmp3,33,2025-12-04,"vinahouse, v-pop",2TDX1edsrM4AKvlSvJcTJg,bachtuongvi||danhka,"('bạch tường vi', 'danhka', 'nan')"
Bạn Trai,14 Casper,nan,bsides_non_hit,12,2024-01-01,"v-pop, vietnamese lo-fi, vietnam indie",2ZQvHKIkQZgbhpPSuWUNvw,bantrai||14casper,"('bạn trai', '14, casper', 'nan')"
Bảo Bối,Văn Mai Hương,nan,apple,43,2025-12-11,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",3JFYH1jrZQHmm10g0h6aCx,baoboi||vanmaihuong,"('bảo bối', 'hương, mai, văn', 'nan')"
Bật Tình Yêu Lên,Tăng Duy Tân,nan,"new_hits_scraped, new_hits_scraped_old",53,2023-02-14,"v-pop, vinahouse, vietnamese lo-fi",62SFLTN7txImu8pQwBMP6A,battinhyeulen||tangduytan,"('bật tình yêu lên', 'duy, tân, tăng', 'nan')"
Bắc Bling (Bắc Ninh),Hòa Minzy,"Xuân Hinh, Tuấn Cry, Masew","new_hits_scraped, new_hits_scraped_old, zingmp3",50,2025-03-01,"v-pop, vinahouse",4L2xuczFpbb7cjXebOBNkt,bacblingbacninh||hoaminzy,"('bắc bling bắc ninh', 'hòa, minzy', 'cry, hinh, masew, tuấn, xuân')"
Bắt Cóc Con Tim,Lou Hoàng,nan,new_hits_scraped_old,45,2022-06-30,"v-pop, vinahouse",3ho1OQb9SFtCt3MIiRZ8Si,batcoccontim||louhoang,"('bắt cóc con tim', 'hoàng, lou', 'nan')"
Bằng Lòng,Karik,nan,bsides_non_hit,31,2024-07-11,"v-pop, vietnamese hip hop, vietnam indie",5362i5VyrHg1Keyyhudf0z,banglong||karik,"('bằng lòng', 'karik', 'nan')"
Bức Tranh Và Cánh Chim,Hoàng Dũng,nan,bsides_non_hit,39,2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",2q6qZMPd4lNMCkvc06s7zs,buctranhvacanhchim||hoangdung,"('bức tranh và cánh chim', 'dũng, hoàng', 'nan')"
CAN I GET YOUR LOVE?,ANH TRAI SAY HI,"Negav, Sơn.K, Hải Nam, Lohan, Jaysonlei","apple, spotify, zingmp3",40,2025-11-18,"v-pop, vietnamese hip hop",7oaphyU2sth0QMzgGHOxs9,canigetyourlove||anhtraisayhi,"('can i get your love?', 'anh, hi, say, trai', 'hải, jaysonlei, k, lohan, nam, negav, sơn')"
CATCH ME IF YOU CAN,ANH TRAI SAY HI,nan,new_hits_scraped_old,49,2024-08-06,"v-pop, vietnamese hip hop",5YiNxgEQQTuFi5dKLxxjWm,catchmeifyoucan||anhtraisayhi,"('catch me if you can', 'anh, hi, say, trai', 'nan')"
CHUYỆN ĐÔI TA,Show It All Vietnam (Tân Binh Toàn Năng),"Minh Hiếu, Cường Bạch, Lâm Anh",zingmp3,44,2025-08-03,v-pop,0SclCApqwaZLVfvLFZzONv,chuyendoita||showitallvietnamtanbinhtoannang,"('chuyện đôi ta', 'all, binh, it, năng, show, toàn, tân, vietnam', 'anh, bạch, cường, hiếu, lâm, minh')"
CHÂN THÀNH,ANH TRAI SAY HI,nan,"new_hits_scraped_old, spotify",61,2024-08-26,"v-pop, vietnamese hip hop",26zqmmkqUK6mCc87XDzPym,chanthanh||anhtraisayhi,"('chân thành', 'anh, hi, say, trai', 'nan')"
CHÚ ẾCH HẾT BUỒN,Jun Phạm,Tóc Tiên,zingmp3,19,2025-12-04,v-pop,73wGf9iYnSC1TZ02sPSzRz,chuechhetbuon||junpham,"('chú ếch hết buồn', 'jun, phạm', 'tiên, tóc')"
CHẠM,ANH TRAI SAY HI,nan,"new_hits_scraped, new_hits_scraped_old",55,2025-09-29,"v-pop, vietnamese hip hop",1KxHecfnS2u53hVKAxLTqs,cham||anhtraisayhi,"('chạm', 'anh, hi, say, trai', 'nan')"
CHẠY NGAY ĐI,Sơn Tùng M-TP,nan,new_hits_scraped_old,55,2018-07-05,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",3IIvAUPtTqcvB4YnEbYGVX,chayngaydi||sontungmtp,"('chạy ngay đi', 'm-tp, sơn, tùng', 'nan')"
CHỜ ANH VỀ,ANH TRAI SAY HI,"B Ray, AMEE","apple, nct, spotify, zingmp3",65,2025-12-08,"v-pop, vietnamese hip hop",7dlgEjrK3lHbP786dshKDV,choanhve||anhtraisayhi,"('chờ anh về', 'anh, hi, say, trai', 'amee, b, ray')"
Call Me,Wren Evans,nan,"new_hits_scraped, new_hits_scraped_old",50,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",3XCp5o1FUpAH0aj2Hmj5yz,callme||wrenevans,"('call me', 'evans, wren', 'nan')"
Can't Let You Go,Hngle,nan,bsides_non_hit,21,2025-05-21,v-pop,53Oiwsju8Tk81ssbTgeYG1,cantletyougo||hngle,"(""can't let you go"", 'hngle', 'nan')"
Cause I Love You,Noo Phước Thịnh,nan,"new_hits_scraped, new_hits_scraped_old",57,2016-03-23,"v-pop, vinahouse",5vODf231esazyTFBRN6Tdc,causeiloveyou||noophuocthinh,"('cause i love you', 'noo, phước, thịnh', 'nan')"
Cay,Khắc Hưng,nan,"new_hits_scraped, new_hits_scraped_old",52,2025-04-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",07iOBFmjZk97JBvPONW8Sj,cay||khachung,"('cay', 'hưng, khắc', 'nan')"
Chiều Hôm Ấy,JayKii,nan,spotify,53,2025-09-25,"v-pop, vietnamese lo-fi, vietnam indie",5tmA5oQDF0ULqRI12LKCDw,chieuhomay||jaykii,"('chiều hôm ấy', 'jaykii', 'nan')"
Chiều Xuân - Xuân Yêu Thương,Hà Nhi,nan,bsides_non_hit,9,2025-01-25,"v-pop, vinahouse, vietnam indie, vietnamese lo-fi",1bQCC6aFJ1G0E43vTR6ikj,chieuxuanxuanyeuthuong||hanhi,"('chiều xuân xuân yêu thương', 'hà, nhi', 'nan')"
Cho Ba,B Ray,nan,bsides_non_hit,50,2025-05-27,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",5OMHzCWm3k4RpfldNGQqe8,choba||bray,"('cho ba', 'b, ray', 'nan')"
Chong Đèn Canh Thâu,Trungg I.U,nan,bsides_non_hit,31,2025-07-18,"v-pop, vinahouse, vietnam indie",20BPNO5wYqbcDw7k2ODxHb,chongdencanhthau||trunggiu,"('chong đèn canh thâu', 'i, trungg, u', 'nan')"
