title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
độc nhất vô nhị,anh trai say hi,"karik, vũ cát tường, gill, tez","nct, zingmp3",57,2025-09-22,"v-pop, vietnamese hip hop",3nglEHRDn1MEy3vmMNfLl5,docnhatvonhi||anhtraisayhi,"('độc nhất vô nhị', 'anh, hi, say, trai', 'cát, gill, karik, tez, tường, vũ')"
đợi,52hz,"wean, rio",spotify,62,2024-01-31,"v-pop, vietnam indie, vietnamese hip hop",33S16Xa5cZmLPhn6eZI4Nm,doi||52hz,"('đợi', '52hz', 'rio, wean')"
đớn đau vô cùng,datkaa,nan,zingmp3,16,2025-11-08,"v-pop, vinahouse, vietnamese lo-fi, vietnamese hip hop",6LdHGrdjMMGcaHFKfyOfQy,dondauvocung||datkaa,"('đớn đau vô cùng', 'datkaa', 'nan')"
dự báo thời tiết hôm nay mưa,grey d,nan,"apple, spotify",62,2022-11-22,"v-pop, vietnam indie, vietnamese hip hop",65cM1nyMf9pFDZVV8xmPX9,dubaothoitiethomnaymua||greyd,"('dự báo thời tiết hôm nay mưa', 'd, grey', 'nan')"
dù cho mai về sau,buitruonglinh,nan,spotify,62,2020-11-17,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",4Iz5EWPCAT8jYNk4IpLoll,duchomaivesau||buitruonglinh,"('dù cho mai về sau', 'buitruonglinh', 'nan')"
dù cho tận thế,erik,nan,nct,60,2025-02-06,"v-pop, vinahouse, vietnam indie",0oSc7X1uRQGuEqNRtXEeQL,duchotanthe||erik,"('dù cho tận thế', 'erik', 'nan')"
đưa em về nhàa,grey d,chillies,"apple, spotify",61,2023-04-24,"v-pop, vietnam indie, vietnamese hip hop",5LQpQ6SDeaz6SIkR0lvsoC,duaemvenhaa||greyd,"('đưa em về nhàa', 'd, grey', 'chillies')"
đừng bất công với em mà,inso,viam,zingmp3,28,2025-07-11,"vinahouse, v-pop",0J3MfbyMKPSkhnxdU63XAJ,dungbatcongvoiemma||inso,"('đừng bất công với em mà', 'inso', 'viam')"
đừng đóng vai nạn nhân,wendy thảo,v2t media,zingmp3,31,2025-10-03,"v-pop, vinahouse",4zUu2z3zh1Swd5kKbjm9DG,dungdongvainannhan||wendythao,"('đừng đóng vai nạn nhân', 'thảo, wendy', 'media, v2t')"
đừng làm trái tim anh đau,sơn tùng m-tp,nan,"apple, spotify",65,2024-06-08,"v-pop, vinahouse, vietnamese hip hop",31VNCmwspR7nVJ6kruUuJt,dunglamtraitimanhdau||sontungmtp,"('đừng làm trái tim anh đau', 'm-tp, sơn, tùng', 'nan')"
đừng yêu một người như,du uyên,nan,zingmp3,10,2025-10-29,"v-pop, vinahouse, vietnamese hip hop",6vH7sYEbvUcHwwJKQvW2xH,dungyeumotnguoinhu||duuyen,"('đừng yêu một người như', 'du, uyên', 'nan')"
đường tôi chở em về,buitruonglinh,nan,spotify,63,2020-07-03,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",27F22WcGDyl4Z2KylVJkXL,duongtoichoemve||buitruonglinh,"('đường tôi chở em về', 'buitruonglinh', 'nan')"
duyên nợ còn đâu,phạm vũ luân,nan,zingmp3,1,2025-10-30,none,00oXuoc8EYyZpg0FYJHqE3,duyennocondau||phamvuluan,"('duyên nợ còn đâu', 'luân, phạm, vũ', 'nan')"
e là không thể,anh quân,nan,"nct, spotify",61,2024-11-29,"vinahouse, vietnamese lo-fi, v-pop",0mcveJtBYTbLJa5dHvtxJJ,elakhongthe||anhquan,"('e là không thể', 'anh, quân', 'nan')"
ếch ngoài đáy giếng,em xinh say hi,phương mỹ chi,zingmp3,53,2025-08-18,v-pop,3ZX71GsU4YKr4ZsAMty3i0,echngoaidaygieng||emxinhsayhi,"('ếch ngoài đáy giếng', 'em, hi, say, xinh', 'chi, mỹ, phương')"
em,binz,nan,"apple, nct, spotify",65,2025-10-25,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",1UhQ0VwKq2PGnLiAZOJYV1,em||binz,"('em', 'binz', 'nan')"
em chỉ sợ ngày mai,mochiii,nan,zingmp3,29,2025-10-13,"vinahouse, v-pop",5HwhXGpBA93SxsfaCCm1uv,emchisongaymai||mochiii,"('em chỉ sợ ngày mai', 'mochiii', 'nan')"
em còn nhớ anh không - remastered,hoàng tôn,koo,spotify,60,2021-04-26,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",7q1qYSyRkGT4ZaCc2ZQihP,emconnhoanhkhongremastered||hoangton,"('em còn nhớ anh không remastered', 'hoàng, tôn', 'koo')"
em cưới rồi à,thanh hưng,nan,zingmp3,47,2025-02-25,"v-pop, vinahouse",7oHtN1f2nW0rV3NayfO3rJ,emcuoiroia||thanhhung,"('em cưới rồi à', 'hưng, thanh', 'nan')"
em đã chờ anh bao lâu,anh trai say hi,"phúc du, ogenus, bùi duy ngọc, rio, otis, 52hz",zingmp3,45,2025-11-03,"v-pop, vietnamese hip hop",4laDe7NUQ0uAZsuER4KK8a,emdachoanhbaolau||anhtraisayhi,"('em đã chờ anh bao lâu', 'anh, hi, say, trai', '52hz, bùi, du, duy, ngọc, ogenus, otis, phúc, rio')"
em đau,phùng khánh linh,thành luke,"apple, zingmp3",55,2025-10-18,"v-pop, vietnam indie",317Lh6QCAz9JpWbV3oxrCf,emdau||phungkhanhlinh,"('em đau', 'khánh, linh, phùng', 'luke, thành')"
em không cần,hannie,nan,"nct, spotify, zingmp3",57,2025-10-16,"v-pop, vinahouse",3M8XPtbFW7xWyz2JmuDcce,emkhongcan||hannie,"('em không cần', 'hannie', 'nan')"
em nhắc anh,nana liu,htm,zingmp3,28,2025-09-15,v-pop,0w56wxs7eDLdzoM8Svatxl,emnhacanh||nanaliu,"('em nhắc anh', 'liu, nana', 'htm')"
em thua cô ta,min quỳnh anh,nan,zingmp3,0,2025-11-11,"vinahouse, v-pop",5WFXRCjqQiAz1Dhijfn2Me,emthuacota||minquynhanh,"('em thua cô ta', 'anh, min, quỳnh', 'nan')"
ex's hate me pt.2,amee,nan,spotify,61,2020-06-20,"v-pop, vietnamese hip hop, vietnam indie",5tdz7T4hTxA1ipJMBe24uX,exshatemept2||amee,"(""ex's hate me pt.2"", 'amee', 'nan')"
exit sign,hieuthuhai,marzuz,"apple, spotify",70,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",4nXrVH5xwN1w6TpmP7uu8n,exitsign||hieuthuhai,"('exit sign', 'hieuthuhai', 'marzuz')"
feel at home,b ray,nan,apple,61,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",7uulTURh3qtUEUnMNtgcA6,feelathome||bray,"('feel at home', 'b, ray', 'nan')"
forget me now,fishy,trí dũng,spotify,59,2021-04-11,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",12DNdwLD9oZOPADqM10oyE,forgetmenow||fishy,"('forget me now', 'fishy', 'dũng, trí')"
fragile (intro),min,nan,apple,49,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4pqM9QR5Lhqff8od49nFjr,fragileintro||min,"('fragile intro', 'min', 'nan')"
